;index;name;ingredients;cuisine
89;89;Kleftiko â€“ Greek Slow Cooked Lamb;['1 shoulder of lamb (not leg!)', '2 tomatoes (large ripe, cut into thick slices)', '1 onion (sliced)', '3 bay leaves', '5 cloves garlic (cracked open)', '6 sprigs fresh rosemary', '3 extra virgin olive oil (heavy glugs of)', '1 lemon', '1 tablespoon dried oregano (preferably Greek of course!)', '3 pinches sea salt', '1 teaspoon smoked paprika (OK, not a traditional ingredient but I think it adds a little smokiness that is missed by cooking it in the oven)', '1 shoulder of lamb (not leg!)', '2 tomatoes (large ripe, cut into thick slices)', '1 onion (sliced)', '3 bay leaves', '5 cloves garlic (cracked open)', '6 sprigs fresh rosemary', '3 extra virgin olive oil (heavy glugs of)', '1 lemon', '1 tablespoon dried oregano (preferably Greek of course!)', '3 pinches sea salt', '1 teaspoon smoked paprika (OK, not a traditional ingredient but I think it adds a little smokiness that is missed by cooking it in the oven)'];Greek
90;90;Greek turkey tacos;['2 tablespoons olive oil', '1/2 onion (large, chopped, about 1 cup chopped)', '2 garlic cloves (minced)', '1 pound ground turkey (freshly, a mix of breast and thigh meat)', '1 tablespoon fresh oregano (chopped, or 1 1/2 teaspoons dried oregano)', '1/2 teaspoon fresh rosemary (finely chopped, or 1/4 teaspoon dried rosemary)', '1/4 teaspoon marjoram (dried)', '1 teaspoon kosher salt', '1/2 teaspoon freshly ground black pepper', '8 pita breads (5-inch or 4 8-inch, warmed)', '1/2 cucumber (medium, halved and sliced)', '1 tomato (diced or cut into small wedges)', '1/2 cup crumbled feta cheese', '1/2 cup plain greek yogurt', '1/2 cucumber (medium, diced into 1/4-inch cubes, about 1/2 cup diced)', '1 garlic clove (minced)', '1 tablespoon red wine vinegar', '2 teaspoons extra-virgin olive oil', '1/2 teaspoon chopped fresh mint (or 1/4 teaspoon dried mint)', 'kosher salt', 'freshly ground black pepper'];Greek
91;91;Slow Cooker Vegetarian Greek Lentil Soup with Tomatoes, Spinach, and Feta;"['2 cups brown lentils (washed and picked over if needed)', '8 cups vegetable stock (or more)', '1 onion (medium, diced small)', '1 cup chopped celery (chopped into fairly small pieces)', '1 tablespoon Greek seasoning (I use The Spice House Greektown Billygoat Seasoning, but there are a few good brands.)', '1 teaspoon dried thyme', '2 teaspoons dried oregano (preferably Greek or Turkish oregano)', '1 tablespoon minced garlic', 'fresh ground black pepper (to taste)', '14.5 ounces diced tomatoes with juice (petite)', '1 bunch spinach leaves (stems cut off, chopped and washed)', ""2 tablespoons lemon juice (fresh-squeezed, or a little less if you're not that into lemon)"", 'crumbled feta cheese (for serving, optional, but good)']";Greek
92;92;Greek Egg and Lemon Soup with Chicken, Brown Rice, and Chickpeas;['4 cups chicken broth', '1 boneless skinless chicken breast (fat trimmed, about 8 oz.)', '1 clove garlic (peeled and crushed or finely minced)', '1/4 cup brown rice', '1/2 cup chickpeas (cooked)', '1 egg (separated, at room temperature)', '2 tablespoons fresh lemon juice (from about 1/2 lemon)', '1/4 cup dill (chopped)', 'salt', 'pepper'];Greek
93;93;Lamb gyros;['2 pounds boneless lamb', '1 1/2 tablespoons salt', '1 teaspoon freshly ground pepper', '1 teaspoon paprika', '1/2 teaspoon garlic powder', '1/4 teaspoon dried oregano', '1 teaspoon white wine vinegar', '8 pieces pita bread (thick, not pocket pita)', 'tzatziki (to taste)', '1 onion (medium, sliced)', '2 tomatoes (sliced)', 'olive oil', '1 cucumber (peeled, seeds removed, finely chopped)', '1 cup plain greek yogurt', '1 clove garlic (grated)', '3 teaspoons lemon juice (freshly squeezed)', '2 teaspoons dill (chopped)', 'salt', 'pepper'];Greek
94;94;Slow Cooker Greek Lamb Shanks;['1 tablespoon olive oil', '4 lamb shanks', 'salt', 'pepper', '1 pound baby potatoes (halved)', '1 cup kalamata olives', '1 jar sundried tomatoes', '1 cup chicken broth', '3 tablespoons lemon juice', 'rub (Greek Spice)', '2 1/2 teaspoons dried oregano (McCormick)', '1 teaspoon dried basil (McCormick)', '1 teaspoon dried rosemary (McCormick)', '1 teaspoon McCormick Onion Powder'];Greek
95;95;Lamb meatballs;['1 pound ground lamb', '1 onion (small, chopped)', '1/4 cup crumbled feta', '1/4 cup chopped fresh mint', '1/4 cup fresh parsley (chopped)', '3 cloves garlic (chopped)', '1 tablespoon paprika', '1 tablespoon ground cumin', '1/4 teaspoon cayenne pepper', '1 teaspoon olive oil', '4 Persian cucumbers (thinly slices on a mandolin)', '1/4 cup greek yogurt', '1 lemon (plus wedges for garnish)', '1 red onion (small, thinly sliced)', 'pepper', 'salt'];Greek
96;96;Greek Spinach with White Beans and Feta;['1/4 cup extra virgin olive oil (good quality)', '1 sweet onion (large, sliced vertically into thick slices, about 2 cups)', '1 tablespoon fresh garlic (chopped)', '8 ounces sliced mushrooms (about 2 cups)', '15 ounces white cannellini beans (drained)', '14.5 ounces stewed tomatoes', 'juice', '1/4 teaspoon red pepper flakes', '1 teaspoon oregano', '1/2 teaspoon kosher salt', '1/4 teaspoon freshly ground black pepper', '1 pound fresh baby spinach', '1/2 lemon', '4 ounces crumbled feta cheese (divided)'];Greek
97;97;Greek rack of lamb;['1 rack of lamb (total of 8 chops)', '2 tablespoons olive oil', '1 teaspoon lemon zest', '1/2 teaspoon oregano', '2 tablespoons lemon juice', '1 teaspoon chopped garlic', '1/4 teaspoon ground black pepper', '1/4 teaspoon thyme leaves', 'salt (to taste)', '1/3 cup olive oil (Greek)', '1 teaspoon oregano (dried Greek )', '1 lemon (minimum of 3 tablespoons or 45 ml)'];Greek
98;98;Greek Turkey Meatball Gyro with Tzatziki;['1 pound ground turkey', '1/4 cup diced red onion (finely)', '2 garlic cloves (minced)', '1 teaspoon oregano', '1 cup fresh spinach (chopped)', 'salt', 'pepper', '2 tablespoons olive oil', '1/2 cup plain greek yogurt', '1/4 cup cucumber (grated)', '2 tablespoons lemon juice', '1/2 teaspoon dill', '1/2 teaspoon garlic powder', 'salt (to taste)', '1/2 cup red onion (thinly sliced)', '1 cup diced tomato', '1 cup cucumber (diced)', '4 whole wheat flatbreads'];Greek
99;99;Greek Lentil Soup with Toasted Pita;['1 tablespoon olive oil', '2 celery stalks (chopped)', '2 carrots (peeled and chopped)', '1 onion', '2 garlic cloves (minced)', '2 teaspoons dried oregano', '1/2 teaspoon salt', '1/2 teaspoon pepper', '8 cups water', '1 cup dry lentils', '2 tablespoons fresh lemon juice (about 1 lemon)', '4 whole pitas (grain, each cut into 4 triangles and toasted)'];Greek
100;100;Greek Loaded Fries With Garlic-scallion Sauce;['3 pounds yukon gold potatoes (cut into wedges)', '1/4 cup extra-virgin olive oil', '8 garlic cloves (peeled and minced)', '1 tablespoon dried oregano', '1 1/2 cups cherry tomatoes (halved)', '1/2 cucumber (large, chopped)', '3/4 cup feta (crumbled)', '1/3 cup kalamata olives (chopped)', '1/4 cup chopped parsley', '3/4 cup plain greek yogurt', '2 scallions (chopped)', '1 teaspoon extra-virgin olive oil', '1 garlic clove (minced)', '1/4 teaspoon dried dill'];Greek
101;101;easy sweet potatoes au gratin;['nonstick cooking spray', '1 pound sweet potatoes', 'salt (to taste)', 'black pepper (to taste)', '3/4 cup heavy cream', '2 sprigs fresh thyme (leaves only)', '1 dash nutmeg', '0.5 ounces grated Parmesan cheese (1/2 oz. is about 2 heaping Tbsp.)', '1 ounce grated Gruyere cheese (1 oz. is about 1/4 cup)'];french
102;102;quiche lorraine;['1 frozen pie shell', '6 strips bacon', '3 large eggs', '3/4 cup whole milk', '1/2 cup heavy cream', '1/2 teaspoon salt', '1/4 teaspoon black pepper', '4 ounces shredded Gruyere (4 oz. is about 1 cup)'];french
103;103;herbes de provence roasted chicken;['4 bone-in, skin-on chicken thighs (8 oz. each)', '1 1/2 teaspoons salt', '1/2 teaspoon black pepper', '1 tablespoon salted butter', '1 1/2 teaspoons Herbes de Provence'];french
104;104;french onion soup;['4 yellow onions (large)', '2 sweet onions (large)', '5 tablespoons butter', '4 sprigs fresh thyme', '2 bay leaves', '3/4 cup dry white wine (I used Chardonnay)', '4 cups beef broth', '1 1/2 cups water', '6 baguettes (diagonally sliced, 1/2 inch thick)', '3 tablespoons olive oil', '6 slices Gruyere cheese'];french
105;105;ratatouille;['1 1/4 pounds eggplant (cut into 1/3-inch cubes)', 'salt', '6 tablespoons extra-virgin olive oil (plus more for serving)', '2 medium zucchini (about 1 lb, cut into 1/3-inch cubes)', '1 yellow onion (medium, finely chopped)', '1 Orange (or yellow bell pepper, cut into 1/4-inch dice)', '5 cloves garlic (chopped)', '5 tomatoes', '1 3/4 pounds juices', '1 tablespoon tomato paste', '2 teaspoons thyme (fresh chopped, plus more for serving)', '3/4 teaspoon sugar', '1/4 teaspoon crushed red pepper flakes (optional)', '3 tablespoons fresh basil (chopped)'];french
106;106;prime rib with herbes de provence crust;['1 prime rib roast (trimmed and tied, 5 1/2-6 1/2 lb.)', 'salt', 'black pepper', '3 tablespoons Herbes de Provence'];french
107;107;chicken casseur;['4 ounces thick cut bacon (sliced crosswise, ¼-inch thick)', '16 pounds boneless, skinless chicken thighs', 'sea salt', 'freshly ground black pepper', '1 tablespoon olive oil', '1/2 cup shallots (finely chopped)', '1 pound cremini mushrooms (fresh, stems trimmed, quartered)', '2 teaspoons thyme leaves', '1 clove garlic (minced)', '1/4 cup brandy', '1 cup dry white wine', '14 ounces San Marzano tomatoes (whole, drained, juice reserved, roughly chopped)', '1 cup low sodium chicken broth', '1 tablespoon flat leaf parsley (minced)', '1 teaspoon tarragon leaves (minced)', '2 tablespoons unsalted butter (cold, diced)'];french
108;108;coq au vin 1;['6 ounces slab bacon', '1/4 inch lardons', '4 pounds chicken (cut into 8 pieces)', 'salt', 'freshly ground pepper', '2 garlic cloves (smashed)', '1 onion (medium, finely chopped)', '4 large carrots (sliced 1/4 inch thick)', '2 cups dry red wine (such as Pinot Noir)', '2 cups chicken stock (or low-sodium broth)', '2 tablespoons unsalted butter', '2 tablespoons extra-virgin olive oil', '1 pound shiitake mushrooms (stems discarded and caps thickly sliced)', '2 tablespoons chopped parsley'];french
109;109;savory crepes;['crepes', '1 1/2 cups all purpose flour', '1 1/2 cups skim milk', '1/2 cup water', '3 large eggs', '4 tablespoons unsalted butter (melted)', '1/2 teaspoon salt', '1 pound white mushrooms (trimmed and thinly sliced)', '1 onion (finely chopped)', '2 tablespoons unsalted butter', 'pepper', 'salt', '2 garlic cloves (minced)', '4 teaspoons all-purpose flour', '1/4 cup vegetable broth', '1 cup skim milk', '10 ounces frozen chopped spinach (thawed)', '3/4 cup Parmesan cheese (grated)', '1 pinch nutmeg'];french
110;110;skillet creamy french mustard chicken;['1 tablespoon olive oil', '2 pounds bone in chicken thighs', 'kosher salt', 'freshly ground black pepper', '1/2 cup shallots (diced, 2 medium shallots)', '1/2 cup dry white wine', '1 cup chicken broth (low-sodium)', '2 tablespoons whole grain dijon mustard', '2 tablespoons Dijon mustard', '2 tablespoons heavy cream', 'fresh parsley (Coarsely chopped, for serving, optional)'];french
111;111;french dip sandwich;"['4 pounds beef bones (meaty, cut into 2- to 3-inch pieces)', '2 tablespoons vegetable oil', '3/4 cup dry red wine', '2 1/2 cups low sodium beef broth', '1 teaspoon kosher salt (plus more for seasoning)', '1/8 teaspoon freshly ground black pepper (plus more for seasoning)', '6 tablespoons unsalted butter (3/4 stick, at room temperature)', '6 French sandwich rolls (sweet, sliced in half horizontally)', 'kosher salt', 'freshly ground black pepper', '1 1/2 pounds roast beef (thinly sliced)', 'horseradish mayonnaise (for serving, optional; see recipe intro)']";french
112;112;french fruit tart;['1 1/2 cups whole milk', '1/2 cup heavy cream', '1/2 cup sugar (divided)', '1 pinch salt', '3 tablespoons cornstarch', '5 egg yolks', '4 tablespoons butter (cold, cut into chunks)', '1 1/2 teaspoons vanilla bean paste', '1 egg yolk', '1 tablespoon heavy cream', '1/2 teaspoon vanilla', '1 1/4 cups all purpose flour', '2/3 cup powdered sugar', '1/4 teaspoon salt', '8 tablespoons unsalted butter (cold, cut into chunks)', '3 kiwis (peeled, halved lengthwise, and sliced 3/8-inch thick)', '12 strawberries (hulled and sliced in half)', '1/2 cup mandarin oranges (drained)', '1/2 cup blueberries', '1/4 cup raspberries', '1/2 cup apple jelly (or apricot preserves, warmed)'];french
113;113;french onion soup pork chops;['4 boneless center cut pork chops (about 1-inch thick)', '1 tablespoon olive oil', '1 cup caramelized onions', '3/4 cup beef stock', '1/4 cup dry white wine (see NOTES)', '4 teaspoons Dijon mustard (whole-grain, OR- regular dijon mustard)', '4 slices provolone cheese (sharp)', '2 sprigs fresh thyme (OR- ⅛ tsp dried, see NOTES)', '1/2 teaspoon salt (optional)', '1/4 teaspoon pepper'];french
114;114;ham stacks au gratin with thyme;['24 squares ham', '6 tablespoons heavy cream', '1/2 teaspoon salt', '9 yukon gold potatoes (2-inch diameter, Or creamer potatoes, red, white, or a combination)', '3/4 cup Gruyere cheese (shredded, about 2 1/2 ounces)', '2 teaspoons fresh thyme', '1 teaspoon dried thyme', 'sea salt (Flaked, optional)', 'cooking spray'];french
115;115;french onion chicken;['3 pounds chicken thighs (bone-in skin-on, at least 6 thighs)', '2 teaspoons salt (divided)', '1 teaspoon black pepper (divided)', '1/4 cup olive oil (divided)', '3 onions (Medium, sliced into ¼ inch rings, about 4 cups)', '2 tablespoons butter', '1/4 teaspoon nutmeg', '4 sprigs fresh thyme', '1 bay leaf', '2 garlic cloves (thinly sliced)', '3/4 cup dry white wine (like sauvignon blanc)', '2 cups beef stock', '8 ounces gruyère cheese (grated)'];french
116;116;tomatos provencal;['4 heirloom tomatoes (medium to largish, about 2 pounds total ripe, halved crosswise)', 'olive oil', 'salt', '2 slices old bread (day-, about 1-inch thick store-bought or homemade)', '1 tablespoon Herbes de Provence (a blend of dried herbs typically comprising some blend of thyme, basil, fennel, lavender, savory and/or marjoram)', '1 lemon', '3/4 cup Parmesan cheese (aged, grated)', '3 tablespoons olive oil'];french
117;117;braised beef;"['2 1/2 pounds beef (e.g. chuck, shanks or brisket, cut into 2-inch pieces)', '2 tablespoons olive oil', '4 tablespoons butter', '3 cups button mushrooms (rinsed, whole)', '4 carrots (medium, peeled and cut into large pieces)', '2 leeks (white and light green parts only, sliced 1/4"" thick)', '1 vidalia onion (large, peeled and chopped)', '4 shallots (peeled and cut in halves)', '2 garlic cloves (minced)', '2 garlic (heads, optional)', '1/3 cup all purpose flour', '4 cups beef broth (or beef stock, heated)', '2 tablespoons red wine vinegar', 'kosher salt (to taste)', '1/2 teaspoon black pepper (plus more to taste)', '1/4 teaspoon nutmeg', 'chopped fresh herbs (for garnish, optional)']";french
118;118;french dip au jus;['1 boneless beef roast (3- to 4-pound, top round or rump)', '3 tablespoons olive oil', 'kosher salt', 'cracked black pepper (Freshly)', '4 pounds beef bones (meaty, I used back ribs)', '2 tablespoons canola oil', '1 cup dry red wine', '2 1/2 cups low sodium beef stock', 'kosher salt', 'freshly ground black pepper', '6 French sandwich rolls (split in half horizontally, although I prefer bolillo rolls)', '4 tablespoons butter (softened)', '10 slices provolone cheese', 'mustard (Spicy, for serving, optional)'];french
119;119;french almond cake;['3/4 cup plain yogurt (or Greek yogurt)', '1 1/2 cups granulated sugar', '4 large eggs', '1 1/2 cups all purpose flour', '3/4 cup almond flour (meal)', '3 teaspoons baking powder', '3/4 teaspoon salt', '1 teaspoon almond extract', '2 teaspoons vanilla', '3/4 cup sunflower oil (grape seed or canola oil)', '1 teaspoon grated orange zest (finely)', '3 tablespoons fresh orange juice', '1 teaspoon vanilla extract', '1/2 teaspoon almond extract', '3/4 cup powdered sugar (plus more for sprinkling)', '1/2 cup sliced almonds'];french
120;120;rustic french apple tart;['1 1/2 cups all purpose flour (spooned and leveled)', '1/2 teaspoon salt', '2 tablespoons granulated sugar', '12 tablespoons unsalted butter (very cold, cut into 1/2-inch pieces)', '1/4 cup cold water (very)', '1 3/4 pounds baking apples (3 large)', '1/3 cup sugar', '1 teaspoon vanilla extract', '1 teaspoon cinnamon', '2 tablespoons unsalted butter (melted)', '1/8 teaspoon salt', '1 tablespoon all purpose flour', '1 egg (beaten)', '2 tablespoons turbinado sugar', '1 tablespoon apricot jelly (or jam, optional for glaze)'];french
121;121;french spaghetti;['2 tablespoons extra virgin olive oil', '1/4 cup unsalted butter', '1 large onion (diced)', '2 cloves garlic (minced)', '1/4 teaspoon dried rosemary', '1/8 teaspoon dried oregano', '1/8 teaspoon dried thyme', '1 tablespoon dried parsley', '29 ounces tomato sauce', '1/2 cup red wine', '2 bay leaves', '1.5 ounces seasoning (spaghetti sauce)', '3 cups shredded rotisserie chicken', '16 ounces thin spaghetti (cooked per package instructions)', 'Parmesan cheese (for topping)'];french
122;122;coq au vin blanc;['4 bone-in chicken breasts (skin-on)', '1/2 teaspoon salt (divided)', '4 slices bacon (chopped)', '454 grams sliced mushrooms', '2 celery stalks (finely chopped, about 1 cup)', '2 garlic cloves (minced)', '1 onion (finely chopped, about 1 cup)', '1 1/2 cups white wine', '1 tablespoon fresh thyme leaves (divided)', '2 teaspoons fresh rosemary (chopped)', '1/2 cup cream'];french
123;123;cream puffs;['3 cups whole milk (Divided)', '1/4 cup cornstarch', '1 tablespoon unbleached all purpose flour', '4 egg yolks', '3/4 cup sugar', '1/4 teaspoon fine sea salt (Kosher Or)', '1/2 vanilla bean', '4 tablespoons unsalted butter (Room Temperature)', '1 cup water', '1/2 cup unsalted butter', '1/4 teaspoon fine sea salt (Kosher Or)', '1 cup unbleached all purpose flour', '4 eggs (Or As Needed)', '3/4 cup heavy whipping cream', '2 tablespoons granulated sugar'];french
124;124;classic eclair;['1/2 cup water', '1/2 cup whole milk', '8 tablespoons unsalted butter', '1 teaspoon granulated sugar', '1/4 teaspoon salt', '1 cup all purpose flour', '4 large eggs', '2 cups whole milk', '1/2 vanilla bean (split lengthwise and scraped, or 2 tsp vanilla extract)', '3/4 cup granulated sugar', '1/4 cup cornstarch', '1 pinch salt', '4 large egg yolks', '4 tablespoons unsalted butter (room temperature)', '4 ounces semi-sweet chocolate chips', '1/2 cup heavy whipping cream'];french
125;125;creamy french mustard chicken;['2 pounds boneless, skinless chicken breast (portions)', '1 pinch salt (and pepper)', '1 tablespoon olive oil', '2 tablespoons unsalted butter', '4 cloves garlic (minced, about 2 teaspoons)', '1 cup white wine (or chicken broth)', '1/2 cup chicken broth', '1/4 teaspoon dried thyme leaves', '3/4 cup heavy cream', '1 tablespoon Dijon mustard', '1 tablespoon stone ground mustard', 'salt', 'pepper'];french
126;126;coq au vin 2;['3 pounds chicken pieces (skin-on and bone-in, I used 4 thighs and 4 legs)', '2 1/2 cups dry red wine (see suggestions below)', '1 cup beef stock', '8 ounces thick cut bacon (diced)', 'kosher salt', 'cracked black pepper', '1 shallot (large, peeled and finely-diced, or 1/2 cup finely-diced white onion)', '1 cup pearl onions (frozen, thawed)', '3/4 pound baby bella mushrooms (halved)', '6 garlic cloves (peeled and minced)', '1/3 cup flour (all-purpose)', '1 tablespoon tomato paste', '1/4 cup cognac (or brandy)', '4 thyme sprigs (fresh)', '2 bay leaves', 'curly-leaf parsley (chopped, for garnish, optional)', 'mashed potatoes (optional)', 'egg noodles (optional)'];french
127;127;chicken cordon bleu casserole;['4 slices white sandwich bread (torn into quarters, I used a long forgotten bread bowl tucked in the back of the freezer – thawed it in the microwave before using)', '2 tablespoons butter (melted)', '3 pounds russet potatoes (about 4-5 medium, peeled and sliced 1/8-inch thick)', '1 teaspoon salt', '4 tablespoons butter', '1 onion (medium, chopped)', '1 teaspoon dried thyme', '3 garlic cloves (medium, finely minced)', '6 tablespoons all-purpose flour', '2 cups low sodium chicken broth', '3/4 cup heavy cream (or milk)', '6 ounces swiss cheese (shredded, about 2 cups)', '2 tablespoons Dijon mustard', '1/4 teaspoon cayenne pepper', '2 pounds boneless skinless chicken breasts (trimmed of excess fat and sliced thinly)', '9 ounces deli ham (chopped)', '2 tablespoons fresh parsley leaves (minced)'];french
128;128;au gratin potatoes;['3 tablespoons butter', '3 garlic cloves (pressed in a garlic press)', '1 medium onion (minced)', '2 tablespoons fresh thyme leaves', '1/2 teaspoon kosher salt (and freshly ground black pepper)', '2 cups heavy cream', '1 cup chicken broth', '5 pounds russet potatoes (sliced thinly, about ⅛ inch thick)', '3 bay leaves', '1 cup Gruyere cheese (shredded)', '1 cup Parmesan cheese (shredded)'];french
129;129;mushroom leek tart;['1 sheet puff pastry (store-bought, preferably Dufour, defrosted according to package instructions)', '3 tablespoons unsalted butter', '2 cloves garlic (finely chopped or grated)', '2 sprigs fresh thyme (leaves only)', '3 leeks (white parts only, halved lengthwise and sliced into thin half-moons, about 2 cups)', '16 ounces cremini mushrooms (cut into 1-inch chunks)', 'freshly ground black pepper (to taste, optional)', '3 ounces gruyère cheese (grated)'];french
130;130;crepes with goat cheese and strawberry rhubarb sauce;['1 cup unbleached flour', '2 tablespoons sugar', '1/2 teaspoon salt', '4 eggs', '1 cup milk', '1 cup half and half', '4 ounces goat cheese', '1 cup confectioners sugar', '2 tablespoons heavy cream', '2 cups strawberries (hulled and sliced)', '1 cup rhubarb (sliced into 1/2 inch pieces)', '1/4 cup water', '1/4 cup sugar'];french
131;131;boef bourguignon;['6 ounces thick cut bacon (diced)', '1 tablespoon olive oil', '3 pounds stewing beef (lean, preferably chuck, cut into 2 inch cubes and patted dry with a paper towel)', '1 onion (large, peeled and sliced)', '1 large carrot (peeled and sliced)', '2 cloves minced garlic', 'salt', 'pepper', '1 tablespoon flour', '750 milliliters red wine (full bodied, young)', '3 cups beef stock (brown)', '1 tablespoon tomato paste', '1 teaspoon thyme leaves', '1 bay leaf', 'chopped parsley (optional)', '24 pearl onions (small white)', '1 1/2 tablespoons olive oil', '1 1/2 tablespoons butter', '1/2 cup beef broth', 'salt', 'ground pepper', '1 bay leaf', '1 pound fresh mushrooms (quartered)', '2 tablespoons butter', '1 tablespoon oil'];french
132;132;blueberry clafouti;"['1 teaspoon unsalted butter (softened, for greasing the pan)', '1/3 cup granulated sugar', '1/2 cup fresh blueberries', '3 large eggs', '1 cup whole milk', '1/2 cup all purpose flour', '1/2 teaspoon vanilla extract', '1/2 teaspoon almond extract', '1 pinch sea salt', '1/4 cup almonds (toasted, and coarsely chopped with a food processor)', ""confectioners' sugar (for dusting)""]";french
133;133;brussels sprouts au gratin;['2/3 cup heavy cream', '3 garlic cloves (minced)', '1 teaspoon fresh rosemary (finely chopped)', '1 teaspoon sea salt (flake kosher)', '1/4 teaspoon ground thyme', '1/4 teaspoon cracked black pepper (freshly)', '2 pounds Brussels sprouts (trimmed and quartered)', '2 tablespoons extra virgin olive oil', '3 tablespoons unsalted butter (cut into 1/4-inch cubes, plus more for the pan)', '1/2 cup grated Parmesan cheese', '1 cup white cheddar cheese (grated)'];french
134;134;national coq au vin day | julia child's coq au vin;['4 ounces lean bacon (chunk)', '2 tablespoons unsalted butter', '3 pounds chicken (frying, cut into pieces)', '1/2 teaspoon salt (plus additional for seasoning)', '1/8 teaspoon pepper (plus additional for seasoning)', '1/4 cup cognac', '3 cups red wine (young, full-bodied, such as Burgundy, Beaujolais, Cotes du Rhone, or Chianti, I used Chianti)', '2 cups brown chicken stock (brown stock or canned beef bouillon)', '1/2 tablespoon tomato paste', '2 cloves garlic (mashed)', '1/4 teaspoon thyme leaves', '1 bay leaf', '24 onions (Brown-Braised, recipe follows)', '1/2 pound mushrooms (Sautéed, recipe follows)', '3 tablespoons all-purpose flour', '2 tablespoons softened butter', 'fresh parsley leaves', '1 1/2 tablespoons butter', '1 1/2 tablespoons oil', '24 white onions (peeled, about 1-inch in diameter)', '1/2 cup stock (brown, canned beef bouillon, dry white wine, red wine, or water)', 'salt', 'pepper', '1/4 teaspoon thyme', '1/2 bay leaf', '4 parsley sprigs', '2 tablespoons butter', '1 tablespoon oil', '1/2 pound fresh mushrooms (washed, well dried, left whole if small, sliced or quartered if large)', '2 tablespoons shallots (minced, or green onions, optional)', 'salt', 'pepper'];french
135;135;jumbo lump crab au gratin;['1/2 cup unsalted butter (1 stick)', '1 medium onion (finely chopped)', '1 celery rib (finely chopped)', '2 tablespoons green onions (sliced save some for garnish, optional)', '1 clove garlic (minced)', '2 large egg yolks (slightly beaten)', '12 ounces evaporated milk', '2 tablespoons all purpose flour', '1 lemon', '1 teaspoon hot sauce', '1 teaspoon kosher salt', '1/2 teaspoon cayenne pepper', '1/2 teaspoon freshly ground black pepper', '1/2 cup Gruyere cheese (grated)', '1/2 cup Fontina cheese (grated)', '1 pound lump crab meat (jumbo, picked over for shells and cartilage)'];french
136;136;layered ratatoullie;['1/2 onion (finely chopped)', '2 garlic cloves (very thinly sliced)', '1 cup tomato puree', '1/4 teaspoon oregano', '1/4 teaspoon crushed red pepper flakes', '2 tablespoons olive oil (divided)', '1 eggplant (small, such as Italian or Chinese)', '1 zucchini', '1 yellow squash', '1 red bell pepper (long)', '3 sprigs fresh thyme', 'pepper', 'salt'];french
137;137;nicoise salad;['1/3 cup lemon juice (or red wine vinegar)', '3/4 cup extra-virgin olive oil', '3 tablespoons shallot (finely chopped)', '2 tablespoons fresh basil (finely chopped)', '1 tablespoon chopped fresh thyme (finely)', '2 teaspoons fresh oregano (finely chopped, or tarragon)', '1 teaspoon Dijon mustard', 'salt', 'freshly ground black pepper', '2 tuna steaks (grilled or otherwise cooked, *, 8 oz each or 2-3 cans of tuna)', '6 hard boiled eggs (peeled and quartered lengthwise)', '1 1/4 pounds red potatoes (small young, or fingerling potatoes)', 'salt', 'freshly ground black pepper', '2 heads Boston lettuce (or butter lettuce, torn into bite-sized pieces)', '3 tomatoes (small ripe, cored and cut into wedges)', '1 red onion (small, thinly sliced)', '1/2 pound green beans (trimmed and cut into 2-inch pieces)', '1/4 cup Niçoise olives', '2 tablespoons capers (rinsed and/or several anchovies, optional)'];french
138;138;cassoulet;"['2 pounds Great Northern Beans (dried)', '6 cups vegetable broth', '2 cups red wine', '1 onion (cut into chunks)', '28 ounces crushed tomatoes (canned type)', '6 carrots (sliced into 1/2"" pieces)', '1 pound Italian sausage (partially cooked and sliced)', '2 pounds pork shoulder (cut into 1 inch chunks)', '1 pound slab bacon (cut into 1/2 inch chunks)', '4 tablespoons parsley (10-12 whole fresh sprigs)', '4 tablespoons thyme (10-12 whole fresh sprigs)', '1 1/2 teaspoons allspice', '1 teaspoon salt', '1/2 teaspoon pepper']";french
139;139;beef wellington with cognac sauce;['2 pounds beef tenderloin fillet', '2 teaspoons olive oil', '1 egg', '1 sheet frozen puff pastry (thawed)', '2 tablespoons Dijon mustard', '3/4 cup mushroom (prepared, Duxelle, already prepared - see recipe)', '1 tablespoon butter', '1 tablespoon olive oil', '3 tablespoons shallots (finely minced)', '8 ounces crimini mushrooms (fresh, sliced thin)', '1/4 cup cooking sherry', 'salt', 'pepper', '1/2 teaspoon grated nutmeg (fresh)', '2 tablespoons fresh parsley (chopped fine)', '1 stick unsalted butter (cut into tablespoons)', '2/3 cup shallots (minced fine)', '2/3 cup cognac', '2 cups beef stock', '2 tablespoons Dijon mustard', '1/2 cup heavy whipping cream', '1 tablespoon fresh thyme (leaves removed from stem and chopped fine)', 'salt', 'pepper'];french
140;140;ratatouille tart;['1 small eggplant', '1 red bell pepper (small, cored and pith removed)', '1 orange bell pepper (small, cored and pith removed)', '1 medium zucchini', '1/2 cup roasted tomatoes', '2 teaspoons olive oil', '1/2 teaspoon sea salt', '1/2 teaspoon fresh ground black pepper', '1 teaspoon fresh thyme', '2 ounces Boursin cheese (crumbled)', '1/2 package frozen puff pastry (1 sheet)'];french
